,CONSTELLIUM FRANCE HOLDCO,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,CONSTRUCTA,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,COPAG,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,CORIANCE MANAGEMENT,Siège,NOISY LE GRAND,93,6420Z - Activités des sociétés holding,10 à 19
,COUSIN LEVAGE,Etabt second.,LA COURNEUVE,93,6420Z - Activités des sociétés holding,10 à 19
,COVENTYA HOLDING,Siège,VILLENEUVE LA GARENNE,92,6420Z - Activités des sociétés holding,10 à 19
,CREDIT AGRICOLE ASSURANCES,Etabt second.,PARIS 15,75,6420Z - Activités des sociétés holding,500 à 999
,CREDIT AGRICOLE IMMOBILIER ENTREPRISE,Siège,MONTROUGE,92,6420Z - Activités des sociétés holding,10 à 19
,CREDIT AGRICOLE LEASING & FACTORING,Etabt second.,PARIS 12,75,6492Z - Autre distribution de crédit,50 à 99
,CREDIT AGRICOLE PRIVATE BANKING,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,50 à 99
,CREDIT ET SERVICES FINANCIERS,Siège,PARIS 09,75,6492Z - Autre distribution de crédit,50 à 99
,CREDIT FONCIER DE FRANCE,Etabt second.,CERGY,95,6492Z - Autre distribution de crédit,20 à 49
,CREDIT IMMOBILIER DE FRANCE IDF,Siège,PARIS 09,75,6492Z - Autre distribution de crédit,100 à 199
,CREDIT IMMOBILIER FRANCE DEVELOPPEMENT,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,CREDIT LOGEMENT,Siège,PARIS 03,75,6492Z - Autre distribution de crédit,250 à 499
,CREDIT SUISSE SECURITIES EUROPE LTD,Etabt second.,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,100 à 199
,CRH FRANCE DISTRIBUTION,Siège,BOULOGNE BILLANCOURT,92,6420Z - Activités des sociétés holding,10 à 19
,CT FINANCES,Etabt second.,LEVALLOIS PERRET,92,6420Z - Activités des sociétés holding,20 à 49
,CT FINANCES,Siège,PARIS 17,75,6420Z - Activités des sociétés holding,20 à 49
,D.P.L.E.,Siège,NEUILLY SUR SEINE,92,6420Z - Activités des sociétés holding,50 à 99
,D.W.L FRANCE,Siège,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,DAT-SCHAUB FRANCE,Siège,THIAIS,94,6420Z - Activités des sociétés holding,100 à 199
,DATALOG FINANCE,Siège,PARIS 13,75,6420Z - Activités des sociétés holding,20 à 49
,DC EXPANSION,Siège,PARIS 16,75,6420Z - Activités des sociétés holding,10 à 19
,DDB LINK,Siège,PARIS 17,75,6420Z - Activités des sociétés holding,20 à 49
,DE LAGE LANDEN LEASING,Etabt second.,COURBEVOIE,92,6491Z - Crédit-bail,20 à 49
,DELPHARM HOLDING,Siège,BOULOGNE BILLANCOURT,92,6420Z - Activités des sociétés holding,10 à 19
,DEM1,Siège,CLICHY,92,6420Z - Activités des sociétés holding,20 à 49
,DENIS PINAULT RESTAURATION,Siège,PARIS 17,75,6420Z - Activités des sociétés holding,10 à 19
,DESSANGE INTERNATIONAL,Etabt second.,PARIS 08,75,6420Z - Activités des sociétés holding,20 à 49
,DEUTSCH,Siège,PONTOISE,95,6430Z - Fonds de placement et entités financières similaires,10 à 19
,DEUTSCHE LEASING FRANCE SAS,Siège,RUEIL MALMAISON,92,6491Z - Crédit-bail,10 à 19
,DEXIA CREDIT LOCAL,Siège,COURBEVOIE,92,6492Z - Autre distribution de crédit,500 à 999
,DFM CAPITAL,Siège,CRETEIL,94,6420Z - Activités des sociétés holding,10 à 19
